,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
17,2022-11-25,5000.0,0.756,0.759,,0.0005,31.0,16.0,,56.0,1667558513.0,1667558513.0,,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,,7.0
8,2022-11-25,8000.0,0.6105,0.614,,0.0005,23.4,26.8,,64.0,1667558513.0,1667558513.0,,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,,7.0
16,2022-11-25,10000.0,0.513,0.517,,0.001,22.6,11.6,,83.5,1667558513.0,1667558513.0,,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,,7.0
10,2022-11-25,12000.0,0.416,0.4205,,0.001,23.0,15.9,,61.2,1667558513.0,1667558513.0,,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,,7.0
13,2022-11-25,14000.0,0.3195,0.325,0.001,0.0015,13.9,16.7,28.7,70.0,1667558513.0,1667558513.0,1667558513.0,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,7.0,7.0
12,2022-11-25,15000.0,0.2715,0.277,0.0015,0.0025,19.9,16.2,89.9,117.9,1667558513.0,1667558513.0,1667558513.0,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,7.0,7.0
4,2022-11-25,16000.0,0.224,0.23,0.003,0.0035,19.6,16.4,2.2,89.6,1667558513.0,1667558513.0,1667558513.0,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,7.0,7.0
11,2022-11-25,17000.0,0.1765,0.1835,0.0045,0.005,19.4,17.3,83.8,8.9,1667558513.0,1667558513.0,1667558513.0,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,7.0,7.0
5,2022-11-25,18000.0,0.1325,0.1385,0.008,0.0085,18.4,18.8,46.0,6.3,1667558513.0,1667558513.0,1667558513.0,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,7.0,7.0
2,2022-11-25,19000.0,0.0915,0.096,0.015,0.0155,14.3,19.6,33.1,7.2,1667558513.0,1667558513.0,1667558513.0,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,7.0,7.0
6,2022-11-25,20000.0,0.0585,0.06,0.0285,0.0295,16.3,21.5,61.5,21.0,1667558513.0,1667558513.0,1667558517.0,1667558517.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,3.0,3.0
7,2022-11-25,21000.0,0.0335,0.0345,0.0515,0.053,13.0,22.5,47.7,21.0,1667558513.0,1667558513.0,1667558512.0,1667558512.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,8.0,8.0
3,2022-11-25,22000.0,0.0175,0.018,0.083,0.088,14.2,2.0,16.0,15.1,1667558513.0,1667558513.0,1667558513.0,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,7.0,7.0
0,2022-11-25,23000.0,0.009,0.0095,,0.2155,5.2,50.5,,48.4,1667558513.0,1667558513.0,,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,,7.0
14,2022-11-25,24000.0,0.0045,0.005,,0.9995,8.0,66.3,,0.2,1667558511.0,1667558511.0,,1667558513.0,20621.5,20602.94781465647,20616.597492859026,1667558520,9.0,9.0,,7.0
1,2022-11-25,25000.0,0.002,0.0025,0.2015,,105.2,28.3,40.0,,1667558513.0,1667558513.0,1667549281.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,9239.0,
15,2022-11-25,26000.0,0.001,0.0015,0.2445,,83.8,7.9,40.4,,1667558513.0,1667558513.0,1667549277.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,9243.0,
9,2022-11-25,28000.0,0.0005,0.001,,,11.2,61.2,,,1667558513.0,1667558513.0,,,20621.5,20602.94781465647,20616.597492859026,1667558520,7.0,7.0,,
19,2022-11-25,30000.0,,0.0005,0.0005,,,0.3,0.1,,,1667558513.0,1667558513.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,,7.0,7.0,
22,2022-11-25,32000.0,,0.0005,0.151,,,46.0,0.1,,,1667558513.0,1667558513.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,,7.0,7.0,
24,2022-11-25,34000.0,,0.0005,0.0005,,,49.0,0.1,,,1667558513.0,1667558513.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,,7.0,7.0,
18,2022-11-25,35000.0,,0.0005,0.0005,,,48.0,0.1,,,1667558513.0,1667558513.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,,7.0,7.0,
21,2022-11-25,36000.0,,0.0005,0.0005,,,49.0,0.1,,,1667558513.0,1667558513.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,,7.0,7.0,
23,2022-11-25,40000.0,,0.0005,0.0005,,,48.2,0.2,,,1667558513.0,1667558513.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,,7.0,7.0,
20,2022-11-25,45000.0,,0.0005,0.0005,,,48.0,0.1,,,1667558513.0,1667558513.0,,20621.5,20602.94781465647,20616.597492859026,1667558520,,7.0,7.0,
